Scenario - Experiment_3_pilot.sce
Logfile written - 12/07/2018 13:13:06

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
114	Picture	10	533993	0	1	3332	2	0	next	other	0
115	Picture	10	537325	0	1	3333	2	0	next	other	0
116	Picture	10	540658	0	1	3332	2	0	next	other	0
117	Picture	10	543990	0	1	3332	2	0	next	other	0
118	Picture	10	547322	0	1	3332	2	0	next	other	0
119	Picture	10	550654	0	1	3333	2	0	next	other	0
120	Picture	10	553987	0	1	3332	2	0	next	other	0
121	Picture	10	557319	0	1	3332	2	0	next	other	0
122	Picture	10	560651	0	1	3332	2	0	next	other	0
123	Picture	10	563983	0	1	3333	2	0	next	other	0
124	Picture	10	567316	0	1	3332	2	0	next	other	0
125	Picture	10	570648	0	1	3332	2	0	next	other	0
126	Picture	10	573980	0	1	3332	2	0	next	other	0
127	Picture	10	577312	0	1	3333	2	0	next	other	0
128	Picture	10	580645	0	1	3332	2	0	next	other	0
129	Picture	10	583977	0	1	3332	2	0	next	other	0
130	Picture	10	587309	0	1	3332	2	0	next	other	0
131	Picture	10	590641	0	1	3333	2	0	next	other	0
132	Picture	10	593974	0	1	3332	2	0	next	other	0
133	Picture	10	597306	0	1	3332	2	0	next	other	0
134	Picture	10	600638	0	1	3332	3	0	next	other	0
135	Picture	10	603970	0	2	3333	3	0	next	other	0
136	Picture	10	607303	0	1	3332	2	0	next	other	0
137	Picture	10	610635	0	1	3332	2	0	next	other	0
138	Picture	10	613967	0	1	3332	3	0	next	other	0
139	Picture	10	617299	0	2	3333	3	0	next	other	0
140	Picture	10	620632	0	1	3332	2	0	next	other	0
141	Picture	10	623964	0	1	3332	2	0	next	other	0
142	Picture	10	627296	0	1	3332	3	0	next	other	0
143	Picture	10	630628	0	2	3333	3	0	next	other	0
144	Picture	10	633961	0	1	3332	2	0	next	other	0
145	Picture	10	637293	0	1	3332	2	0	next	other	0
146	Picture	10	640625	0	1	3333	2	0	next	other	0
147	Picture	10	643958	0	1	3332	2	0	next	other	0
148	Picture	10	647290	0	1	3332	2	0	next	other	0
149	Picture	10	650622	0	1	3332	2	0	next	other	0
150	Picture	10	653954	0	1	3332	3	0	next	other	0
151	Picture	10	657286	0	2	3333	3	0	next	other	0
152	Picture	10	660619	0	1	3332	2	0	next	other	0
153	Picture	10	663951	0	1	3332	2	0	next	other	0
154	Picture	10	667283	0	1	3333	2	0	next	other	0
155	Picture	10	670616	0	1	3332	2	0	next	other	0
156	Picture	10	673948	0	1	3332	2	0	next	other	0
