0.791067	4 9 -2.4031516180825965 0.6488748459037927
0.791067	4 8 -1.9952521646907135 0.49067278437349066
0.791067	4 7 -0.4269685430719595 0.32539707603264556
0.791067	4 6 -2.722963036943074 0.4707633268082519
0.791067	4 5 -2.5788920555308192 0.5505769665257105
0.791067	4 4 -2.533295634468058 0.5539012498792459
0.791067	4 3 -2.5963607953640357 0.23067479068065813
0.791067	4 32 0.4338536721258656 0.4701669044848138
0.791067	4 31 1.4387457059331386 0.4459142516746576
0.791067	4 30 1.1452668529334458 0.44047296002864295
0.791067	4 29 1.2992016058250755 0.3258762297215812
0.791067	4 28 0.34138383322729676 0.2856451832122486
0.791067	4 27 1.3905146762510354 0.409379234623441
0.791067	4 26 2.144493761481414 0.3345215390186167
0.791067	4 25 1.9722239536712298 0.36026146912836526
0.791067	4 24 1.8026017335199516 0.1931230120056888
0.791067	4 23 0.6550382819740451 0.39797318609835236
0.791067	4 22 0.02987444293787021 0.45000810567517174
0.791067	4 2 -1.451067688031724 0.5069789434496962
0.791067	4 21 1.6037081133467457 0.32809029108643295
0.791067	4 20 2.4029141440811843 0.3754375993289511
0.791067	4 19 2.760314855429059 0.40583026261347455
0.791067	4 18 -1.011163940433828 0.14731504065813514
0.791067	4 17 -0.1470312634813837 0.37436469170154585
0.791067	4 16 -0.14607866330680927 0.3915869006270053
0.791067	4 15 2.8388927057286906 0.4200792105325994
0.791067	4 14 -3.006287116883613 0.3894263821435386
0.791067	4 13 -2.3028268788261963 0.4520448167707963
0.791067	4 12 -0.7217655638242001 0.26936927396560617
0.791067	4 1 -1.4690572155947113 0.422637902329054
0.791067	4 11 -1.423950615068869 0.20676555411903275
0.791067	4 10 -2.462159262835478 0.5829348943655086
0.702301	11 9 -2.574434847196907 0.32685271071257055
0.702301	11 8 -0.9737205776335439 0.2898747803000629
0.702301	11 7 0.7812777918413291 0.21048128404541291
0.702301	11 6 0.37269750925672024 0.1202918198081478
0.702301	11 5 -0.5269534650129474 0.09660092741776304
0.702301	11 4 -0.2705697042244438 0.1086548450572659
0.702301	11 32 -0.11709591279735046 0.36303925287777855
0.702301	11 31 -0.21920288203563162 0.061627777941129135
0.702301	11 3 0.32395155207941917 0.37517316897159064
0.702301	11 30 -0.17806533603119115 0.14398855695736673
0.702301	11 29 -0.7983255629065742 0.12886527768020098
0.702301	11 28 -0.20461219894183655 0.6071649757755366
0.702301	11 27 2.988481323845195 0.37282454796519393
0.702301	11 26 2.8969307525451384 0.38146612416843884
0.702301	11 25 3.128802882425598 0.44359416191942785
0.702301	11 24 -2.8223117999909744 0.4785502541915665
0.702301	11 23 -0.6034143747994454 0.36081973054964434
0.702301	11 22 1.1395924815814213 0.3296660685853951
0.702301	11 21 2.6884376717675043 0.5730499849092316
0.702301	11 20 3.1069120655890443 0.39582873885089553
0.702301	11 2 0.058311476995553724 0.4188394674898499
0.702301	11 19 -2.8610743446861044 0.48714064392851253
0.702301	11 18 -2.0385389880482045 0.40243783368593977
0.702301	11 17 0.021633360131714255 0.6549778087333227
0.702301	11 16 2.142705050302101 0.45253242452231296
0.702301	11 15 2.8273923738512465 0.28364895153128894
0.702301	11 14 -2.656359145563892 0.46609136398138634
0.702301	11 13 -2.580220280333822 0.6358428267259775
0.702301	11 12 -0.17755390852175662 0.4984782948479328
0.702301	11 11 1.5902755758395555 0.1239821344505431
0.702301	11 1 0.4049217880358774 0.43189763843697354
0.702301	11 10 -2.5763622152320362 0.21253628205124017
0.679837	1 9 1.4784372611324217 0.28236491742332354
0.679837	1 8 0.16385133610975014 0.24144376573202664
0.679837	1 7 1.659570929349772 0.15312409356702378
0.679837	1 6 1.8055147401043512 0.4085376373680145
0.679837	1 5 1.5916149241478024 0.44542471173635434
0.679837	1 4 1.794398674766071 0.42382809718938386
0.679837	1 32 -1.1820022084888544 0.5641633358456523
0.679837	1 31 -1.3264690594804514 0.3694116177295822
0.679837	1 3 0.9408168436301018 0.3846566443021407
0.679837	1 30 -1.328771923327816 0.3688951140630279
0.679837	1 29 -1.3003154456741934 0.32603316654821335
0.679837	1 28 -1.1225136556340187 0.613145688513798
0.679837	1 27 -1.7076796869676414 0.3891395063167394
0.679837	1 26 -2.385281870814423 0.23042076685661136
0.679837	1 25 -2.7171868204394007 0.1149564141598746
